Date,AAPL,GE,MSFT
2022-01-03 00:00:00-05:00,180.95974731445312,74.8066635131836,331.6424560546875
2022-01-04 00:00:00-05:00,178.6630859375,77.2396011352539,325.95574951171875
2022-01-05 00:00:00-05:00,173.91064453125,77.2396011352539,313.4430236816406
2022-01-06 00:00:00-05:00,171.0075225830078,77.69042205810547,310.9662170410156
2022-01-07 00:00:00-05:00,171.176513671875,78.81749725341797,311.1247253417969
2022-01-10 00:00:00-05:00,171.19642639160156,77.27845764160156,311.35260009765625
2022-01-11 00:00:00-05:00,174.0697479248047,79.12064361572266,312.0560302734375
2022-01-12 00:00:00-05:00,174.5171356201172,79.47042083740234,315.3154296875
2022-01-13 00:00:00-05:00,171.19642639160156,79.64144134521484,301.9704895019531
2022-01-14 00:00:00-05:00,172.07135009765625,80.18553924560547,307.32037353515625
2022-01-18 00:00:00-05:00,168.8201904296875,79.97565460205078,299.8404541015625
2022-01-19 00:00:00-05:00,165.2707977294922,78.2112045288086,300.51409912109375
2022-01-20 00:00:00-05:00,163.56072998046875,76.36902618408203,298.8001708984375
2022-01-21 00:00:00-05:00,161.4728546142578,74.85330200195312,293.28192138671875
2022-01-24 00:00:00-05:00,160.68739318847656,75.32744598388672,293.6187744140625
2022-01-25 00:00:00-05:00,158.8580322265625,70.81916046142578,285.8118896484375
2022-01-26 00:00:00-05:00,158.76853942871094,69.42780303955078,293.9555969238281
2022-01-27 00:00:00-05:00,158.30125427246094,69.87862396240234,297.0565185546875
2022-01-28 00:00:00-05:00,169.34715270996094,71.58867645263672,305.39837646484375
2022-01-31 00:00:00-05:00,173.77146911621094,73.43863677978516,308.0931396484375
2022-02-01 00:00:00-05:00,173.60244750976562,76.1358413696289,305.8937072753906
2022-02-02 00:00:00-05:00,174.82534790039062,76.20579528808594,310.5500793457031
2022-02-03 00:00:00-05:00,171.90231323242188,76.42344665527344,298.4534606933594
2022-02-04 00:00:00-05:00,171.61363220214844,76.95976257324219,303.09991455078125
2022-02-07 00:00:00-05:00,170.8869171142578,77.65155792236328,298.15625
2022-02-08 00:00:00-05:00,174.04263305664062,77.19295501708984,301.7326965332031
2022-02-09 00:00:00-05:00,175.48609924316406,77.14631652832031,308.32098388671875
2022-02-10 00:00:00-05:00,171.34483337402344,76.78876495361328,299.5729675292969
2022-02-11 00:00:00-05:00,167.88052368164062,75.26526641845703,292.3011169433594
2022-02-14 00:00:00-05:00,168.11944580078125,75.08647918701172,292.261474609375
2022-02-15 00:00:00-05:00,172.01181030273438,78.44440460205078,297.68072509765625
2022-02-16 00:00:00-05:00,171.7729034423828,78.82527160644531,297.333251953125
2022-02-17 00:00:00-05:00,168.11944580078125,76.53225708007812,288.626708984375
2022-02-18 00:00:00-05:00,166.5465545654297,72.04728698730469,285.846923828125
2022-02-22 00:00:00-05:00,163.57998657226562,73.18212127685547,285.6384582519531
2022-02-23 00:00:00-05:00,159.34912109375,72.01618957519531,278.24237060546875
2022-02-24 00:00:00-05:00,162.007080078125,71.93067932128906,292.4587707519531
2022-02-25 00:00:00-05:00,164.1075897216797,74.90770721435547,295.1590576171875
2022-02-28 00:00:00-05:00,164.37635803222656,74.2392349243164,296.6283874511719
2022-03-01 00:00:00-05:00,162.4650115966797,71.76744842529297,292.816162109375
2022-03-02 00:00:00-05:00,165.80987548828125,73.18989562988281,298.0182189941406
2022-03-03 00:00:00-05:00,165.4813690185547,71.86072540283203,293.7791442871094
2022-03-04 00:00:00-05:00,162.4351348876953,69.28788757324219,287.762939453125
2022-03-07 00:00:00-05:00,158.58258056640625,66.42488098144531,276.8921813964844
2022-03-08 00:00:00-05:00,156.73094177246094,68.57991790771484,273.8543395996094
2022-03-09 00:00:00-05:00,162.21612548828125,70.99169158935547,286.41278076171875
2022-03-10 00:00:00-05:00,157.80609130859375,71.05392456054688,283.52386474609375
2022-03-11 00:00:00-05:00,154.03314208984375,71.79301452636719,278.0437927246094
2022-03-14 00:00:00-04:00,149.941650390625,71.92527770996094,274.4400634765625
2022-03-15 00:00:00-04:00,154.39154052734375,71.84747314453125,285.07257080078125
2022-03-16 00:00:00-04:00,158.8712615966797,73.6757583618164,292.26019287109375
2022-03-17 00:00:00-04:00,159.89663696289062,74.32149505615234,293.0841979980469
2022-03-18 00:00:00-04:00,163.2415008544922,74.3681640625,298.2564697265625
2022-03-21 00:00:00-04:00,164.63519287109375,73.76911163330078,296.99566650390625
2022-03-22 00:00:00-04:00,168.05972290039062,73.83135986328125,301.8602294921875
2022-03-23 00:00:00-04:00,169.4434356689453,72.89776611328125,297.32330322265625
2022-03-24 00:00:00-04:00,173.2860565185547,73.22451782226562,301.89996337890625
2022-03-25 00:00:00-04:00,173.93313598632812,73.14672088623047,301.48297119140625
2022-03-28 00:00:00-04:00,174.80917358398438,71.57518768310547,308.45220947265625
2022-03-29 00:00:00-04:00,178.154052734375,73.63685607910156,313.1281433105469
2022-03-30 00:00:00-04:00,176.9694061279297,73.58240509033203,311.5893249511719
2022-03-31 00:00:00-04:00,173.82363891601562,71.18618774414062,306.0794677734375
2022-04-01 00:00:00-04:00,173.52496337890625,71.9563980102539,307.18145751953125
2022-04-04 00:00:00-04:00,177.63638305664062,71.59074401855469,312.6912841796875
2022-04-05 00:00:00-04:00,174.27159118652344,70.09700012207031,308.6308898925781
2022-04-06 00:00:00-04:00,171.05613708496094,69.94918060302734,297.333251953125
2022-04-07 00:00:00-04:00,171.36474609375,69.59909057617188,299.189697265625
2022-04-08 00:00:00-04:00,169.323974609375,69.8169174194336,294.821533203125
